X,Y,Z,B0
0,0,-50,0.045868404
-5,-20,-45,0.0458004
0,-20,-45,0.045806083
5,-20,-45,0.045805586
-15,-15,-45,0.045784039
-10,-15,-45,0.045802377
-5,-15,-45,0.045812754
0,-15,-45,0.045816991
5,-15,-45,0.045816248
10,-15,-45,0.045810146
15,-15,-45,0.045797667
-15,-10,-45,0.04579658
-10,-10,-45,0.045812361
-5,-10,-45,0.045820166
0,-10,-45,0.045822792
5,-10,-45,0.045821887
10,-10,-45,0.04581675
15,-10,-45,0.045805291
-20,-5,-45,0.045782476
-15,-5,-45,0.045805465
-10,-5,-45,0.045818703
-5,-5,-45,0.045824228
0,-5,-45,0.045825396
5,-5,-45,0.045824144
10,-5,-45,0.045819591
15,-5,-45,0.045808991
20,-5,-45,0.045790515
-20,0,-45,0.04578977
-15,0,-45,0.045810579
-10,0,-45,0.04582197
-5,0,-45,0.045825993
0,0,-45,0.045826046
5,0,-45,0.045824108
10,0,-45,0.045819285
15,0,-45,0.045808696
20,0,-45,0.045790236
-20,5,-45,0.045792904
-15,5,-45,0.045811921
-10,5,-45,0.045822285
-5,5,-45,0.045825619
0,5,-45,0.045824893
5,5,-45,0.045821901
10,5,-45,0.045815879
15,5,-45,0.045804313
20,5,-45,0.045785431
-15,10,-45,0.04580962
-10,10,-45,0.045819382
-5,10,-45,0.045822479
0,10,-45,0.045821142
5,10,-45,0.045816805
10,10,-45,0.045808936
15,10,-45,0.045795742
-15,15,-45,0.045803782
-10,15,-45,0.045812754
-5,15,-45,0.045815526
0,15,-45,0.045813505
5,15,-45,0.045807696
10,15,-45,0.045797809
15,15,-45,0.045782901
-5,20,-45,0.045803603
0,20,-45,0.045800657
5,20,-45,0.045793465
0,-30,-40,0.045730197
-15,-25,-40,0.045718674
-10,-25,-40,0.045733874
-5,-25,-40,0.045743997
0,-25,-40,0.0457493
5,-25,-40,0.045750006
10,-25,-40,0.045746403
15,-25,-40,0.045739136
-20,-20,-40,0.045710759
-15,-20,-40,0.045733081
-10,-20,-40,0.045749129
-5,-20,-40,0.045759353
0,-20,-40,0.04576424
5,-20,-40,0.04576419
10,-20,-40,0.045759456
15,-20,-40,0.045750429
20,-20,-40,0.045737901
-25,-15,-40,0.045692879
-20,-15,-40,0.04572289
-15,-15,-40,0.04574547
-10,-15,-40,0.045761203
-5,-15,-40,0.045770738
0,-15,-40,0.045774925
5,-15,-40,0.045774367
10,-15,-40,0.045769178
15,-15,-40,0.045759312
20,-15,-40,0.045745132
25,-15,-40,0.04572735
-25,-10,-40,0.045704494
-20,-10,-40,0.045733753
-15,-10,-40,0.045755498
-10,-10,-40,0.045770123
-5,-10,-40,0.045778499
0,-10,-40,0.045781811
5,-10,-40,0.045780828
10,-10,-40,0.045775518
15,-10,-40,0.045765409
20,-10,-40,0.045750405
25,-10,-40,0.045731123
-25,-5,-40,0.045715013
-20,-5,-40,0.045742638
-15,-5,-40,0.045762898
-10,-5,-40,0.045776077
-5,-5,-40,0.04578317
0,-5,-40,0.045785557
5,-5,-40,0.045784102
10,-5,-40,0.045778669
15,-5,-40,0.045768497
20,-5,-40,0.045753149
25,-5,-40,0.045733082
-30,0,-40,0.045690427
-25,0,-40,0.045723442
-20,0,-40,0.045748943
-15,0,-40,0.045767462
-10,0,-40,0.045779197
-5,0,-40,0.045785124
0,0,-40,0.045786625
5,0,-40,0.045784568
10,0,-40,0.045778783
15,0,-40,0.045768418
20,0,-40,0.045752898
25,0,-40,0.045732556
30,0,-40,0.045707784
-25,5,-40,0.045729174
-20,5,-40,0.045752325
-15,5,-40,0.045769032
-10,5,-40,0.045779448
-5,5,-40,0.045784384
0,5,-40,0.045785055
5,5,-40,0.045782244
10,5,-40,0.045775815
15,5,-40,0.045765028
20,5,-40,0.04574939
25,5,-40,0.045729166
-25,10,-40,0.045732108
-20,10,-40,0.045752708
-15,10,-40,0.045767491
-10,10,-40,0.045776609
-5,10,-40,0.045780627
0,10,-40,0.045780473
5,10,-40,0.045776787
10,10,-40,0.045769517
15,10,-40,0.045758183
20,10,-40,0.045742556
25,10,-40,0.045722899
-25,15,-40,0.045732374
-20,15,-40,0.045750074
-15,15,-40,0.045762667
-10,15,-40,0.045770308
-5,15,-40,0.045773301
0,15,-40,0.045772258
5,15,-40,0.045767653
10,15,-40,0.045759533
15,15,-40,0.045747739
20,15,-40,0.0457324
25,15,-40,0.045713875
-20,20,-40,0.045744111
-15,20,-40,0.045754188
-10,20,-40,0.045760037
-5,20,-40,0.04576176
0,20,-40,0.045759728
5,20,-40,0.045754275
10,20,-40,0.045745511
15,20,-40,0.045733541
20,20,-40,0.045718818
-15,25,-40,0.045741427
-10,25,-40,0.045745191
-5,25,-40,0.045745382
0,25,-40,0.045742297
5,25,-40,0.045736198
10,25,-40,0.0457272
15,25,-40,0.045715483
0,30,-40,0.045719598
-5,-35,-35,0.045682245
0,-35,-35,0.045686211
5,-35,-35,0.045689048
-15,-30,-35,0.045682971
-10,-30,-35,0.045692897
-5,-30,-35,0.045699755
0,-30,-35,0.045703829
5,-30,-35,0.045705224
10,-30,-35,0.045703933
15,-30,-35,0.045700199
-25,-25,-35,0.04565653
-20,-25,-35,0.045678642
-15,-25,-35,0.045695188
-10,-25,-35,0.045707162
-5,-25,-35,0.045715052
0,-25,-35,0.045719154
5,-25,-35,0.04571968
10,-25,-35,0.045716843
15,-25,-35,0.045711025
20,-25,-35,0.045702777
25,-25,-35,0.0456924
-25,-20,-35,0.045663445
-20,-20,-35,0.045688039
-15,-20,-35,0.045706397
-10,-20,-35,0.04571946
-5,-20,-35,0.045727776
0,-20,-35,0.045731749
5,-20,-35,0.045731691
10,-20,-35,0.045727856
15,-20,-35,0.04572056
20,-20,-35,0.045710208
25,-20,-35,0.045697015
-30,-15,-35,0.045638392
-25,-15,-35,0.045671781
-20,-15,-35,0.045697253
-15,-15,-35,0.045716227
-10,-15,-35,0.045729515
-5,-15,-35,0.045737722
0,-15,-35,0.045741379
5,-15,-35,0.04574088
10,-15,-35,0.045736443
15,-15,-35,0.04572823
20,-15,-35,0.045716477
25,-15,-35,0.045701354
30,-15,-35,0.045682442
-30,-10,-35,0.04564767
-25,-10,-35,0.045680547
-20,-10,-35,0.045705702
-15,-10,-35,0.045724349
-10,-10,-35,0.045737194
-5,-10,-35,0.045744885
0,-10,-35,0.045748059
5,-10,-35,0.045747169
10,-10,-35,0.045742371
15,-10,-35,0.04573366
20,-10,-35,0.045721093
25,-10,-35,0.045704764
30,-10,-35,0.045684265
-35,-5,-35,0.045616935
-30,-5,-35,0.045657574
-25,-5,-35,0.045688856
-20,-5,-35,0.045712818
-15,-5,-35,0.045730474
-10,-5,-35,0.045742435
-5,-5,-35,0.045749356
0,-5,-35,0.04575193
5,-5,-35,0.045750631
10,-5,-35,0.045745564
15,-5,-35,0.045736598
20,-5,-35,0.045723649
25,-5,-35,0.04570674
30,-5,-35,0.045685502
35,-5,-35,0.04565826
-35,0,-35,0.045629487
-30,0,-35,0.045666966
-25,0,-35,0.045695927
-20,0,-35,0.045718101
-15,0,-35,0.04573434
-10,0,-35,0.045745164
-5,0,-35,0.045751187
0,0,-35,0.045753085
5,0,-35,0.045751321
10,0,-35,0.04574597
15,0,-35,0.045736853
20,0,-35,0.045723819
25,0,-35,0.045706844
30,0,-35,0.0456856
35,0,-35,0.045658677
-35,5,-35,0.045640967
-30,5,-35,0.045674967
-25,5,-35,0.045701197
-20,5,-35,0.045721185
-15,5,-35,0.045735718
-10,5,-35,0.045745246
-5,5,-35,0.045750295
0,5,-35,0.045751462
5,5,-35,0.045749165
10,5,-35,0.045743481
15,5,-35,0.04573426
20,5,-35,0.04572137
25,5,-35,0.045704761
30,5,-35,0.045684059
35,5,-35,0.045657973
-30,10,-35,0.045681289
-25,10,-35,0.045704418
-20,10,-35,0.045721849
-15,10,-35,0.0457344
-10,10,-35,0.045742467
-5,10,-35,0.045746453
0,10,-35,0.045746829
5,10,-35,0.045743949
10,10,-35,0.045737916
15,10,-35,0.045728673
20,10,-35,0.045716181
25,10,-35,0.045700388
30,10,-35,0.045680769
-30,15,-35,0.045686307
-25,15,-35,0.045705585
-20,15,-35,0.045719946
-15,15,-35,0.045730168
-10,15,-35,0.045736544
-5,15,-35,0.045739327
0,15,-35,0.045738843
5,15,-35,0.045735374
10,15,-35,0.04572906
15,15,-35,0.045719969
20,15,-35,0.045708211
25,15,-35,0.045693805
30,15,-35,0.045676125
-25,20,-35,0.045704695
-20,20,-35,0.045715281
-15,20,-35,0.045722757
-10,20,-35,0.045727156
-5,20,-35,0.045728557
0,20,-35,0.045727152
5,20,-35,0.045723156
10,20,-35,0.045716737
15,20,-35,0.045708082
20,20,-35,0.045697471
25,20,-35,0.045685145
-25,25,-35,0.045701586
-20,25,-35,0.045707615
-15,25,-35,0.04571191
-10,25,-35,0.045714028
-5,25,-35,0.045713864
0,25,-35,0.045711511
5,25,-35,0.045707134
10,25,-35,0.045700915
15,25,-35,0.045693106
20,25,-35,0.045684124
25,25,-35,0.045674582
-15,30,-35,0.045697656
-10,30,-35,0.045697122
-5,30,-35,0.045695214
0,30,-35,0.045691937
5,30,-35,0.045687411
10,30,-35,0.045681851
15,30,-35,0.045675541
-5,35,-35,0.045673107
0,35,-35,0.045668982
5,35,-35,0.045664568
0,-40,-30,0.045652524
-15,-35,-30,0.04565672
-10,-35,-30,0.045661588
-5,-35,-30,0.045665367
0,-35,-30,0.045667997
5,-35,-30,0.045669263
10,-35,-30,0.045668682
15,-35,-30,0.045666214
-25,-30,-30,0.045645549
-20,-30,-30,0.045657571
-15,-30,-30,0.045667307
-10,-30,-30,0.045674714
-5,-30,-30,0.045679772
0,-30,-30,0.0456825
5,-30,-30,0.045682862
10,-30,-30,0.04568081
15,-30,-30,0.045676572
20,-30,-30,0.045670928
25,-30,-30,0.04566519
-30,-25,-30,0.045626421
-25,-25,-30,0.045647618
-20,-25,-30,0.045664439
-15,-25,-30,0.04567728
-10,-25,-30,0.045686564
-5,-25,-30,0.045692559
0,-25,-30,0.045695433
5,-25,-30,0.045695297
10,-25,-30,0.045692283
15,-25,-30,0.045686666
20,-25,-30,0.045678941
25,-25,-30,0.045669802
30,-25,-30,0.045660397
-30,-20,-30,0.045627269
-25,-20,-30,0.045652116
-20,-20,-30,0.045671662
-15,-20,-30,0.045686392
-10,-20,-30,0.04569684
-5,-20,-30,0.045703398
0,-20,-30,0.045706347
5,-20,-30,0.045705899
10,-20,-30,0.045702249
15,-20,-30,0.045695645
20,-20,-30,0.045686432
25,-20,-30,0.045675051
30,-20,-30,0.045662271
-35,-15,-30,0.045599489
-30,-15,-30,0.045631577
-25,-15,-30,0.045658057
-20,-15,-30,0.04567882
-15,-15,-30,0.045694401
-10,-15,-30,0.045705337
-5,-15,-30,0.045712072
0,-15,-30,0.045714961
5,-15,-30,0.045714276
10,-15,-30,0.04571022
15,-15,-30,0.04570298
20,-15,-30,0.045692784
25,-15,-30,0.045679904
30,-15,-30,0.045664741
35,-15,-30,0.045648456
-35,-10,-30,0.045605439
-30,-10,-30,0.045638024
-25,-10,-30,0.04566463
-20,-10,-30,0.04568546
-15,-10,-30,0.045701047
-10,-10,-30,0.045711894
-5,-10,-30,0.045718455
0,-10,-30,0.045721131
5,-10,-30,0.045720223
10,-10,-30,0.045715915
15,-10,-30,0.045708325
20,-10,-30,0.045697576
25,-10,-30,0.045683809
30,-10,-30,0.045667145
35,-10,-30,0.045647932
-35,-5,-30,0.045614391
-30,-5,-30,0.045645606
-25,-5,-30,0.045671124
-20,-5,-30,0.045691129
-15,-5,-30,0.045706063
-10,-5,-30,0.045716365
-5,-5,-30,0.045722471
0,-5,-30,0.045724793
5,-5,-30,0.045723637
10,-5,-30,0.045719164
15,-5,-30,0.045711436
20,-5,-30,0.045700504
25,-5,-30,0.045686425
30,-5,-30,0.045669206
35,-5,-30,0.045648921
-40,0,-30,0.045593339
-35,0,-30,0.04562489
-30,0,-30,0.045653357
-25,0,-30,0.045676887
-20,0,-30,0.045695396
-15,0,-30,0.04570918
-10,0,-30,0.045718595
-5,0,-30,0.045724031
0,0,-30,0.045725877
5,0,-30,0.04572443
10,0,-30,0.045719833
15,0,-30,0.045712123
20,0,-30,0.045701318
25,0,-30,0.04568745
30,0,-30,0.045670536
35,0,-30,0.045650783
40,0,-30,0.045629856
-35,5,-30,0.045635506
-30,5,-30,0.04566047
-25,5,-30,0.045681396
-20,5,-30,0.045697902
-15,5,-30,0.045710148
-10,5,-30,0.045718402
-5,5,-30,0.045722992
0,5,-30,0.045724261
5,5,-30,0.045722477
10,5,-30,0.045717781
15,5,-30,0.045710218
20,5,-30,0.045699815
25,5,-30,0.045686613
30,5,-30,0.045670671
35,5,-30,0.045652426
-35,10,-30,0.045645592
-30,10,-30,0.045666564
-25,10,-30,0.045684349
-20,10,-30,0.045698384
-15,10,-30,0.045708732
-10,10,-30,0.045715574
-5,10,-30,0.045719156
0,10,-30,0.045719754
5,10,-30,0.045717602
10,10,-30,0.045712849
15,10,-30,0.045705577
20,10,-30,0.045695859
25,10,-30,0.045683766
30,10,-30,0.045669378
35,10,-30,0.045653219
-35,15,-30,0.045655799
-30,15,-30,0.045671808
-25,15,-30,0.045685665
-20,15,-30,0.045696665
-15,15,-30,0.045704718
-10,15,-30,0.045709879
-5,15,-30,0.045712284
0,15,-30,0.045712129
5,15,-30,0.045709608
10,15,-30,0.045704883
15,15,-30,0.045698094
20,15,-30,0.045689395
25,15,-30,0.045678939
30,15,-30,0.045666864
35,15,-30,0.045653694
-30,20,-30,0.045676728
-25,20,-30,0.045685384
-20,20,-30,0.045692608
-15,20,-30,0.045697909
-10,20,-30,0.045701093
-5,20,-30,0.045702149
0,20,-30,0.045701178
5,20,-30,0.045698333
10,20,-30,0.045693786
15,20,-30,0.045687742
20,20,-30,0.04568047
25,20,-30,0.045672311
30,20,-30,0.045663701
-30,25,-30,0.045681756
-25,25,-30,0.045683544
-20,25,-30,0.04568614
-15,25,-30,0.045688185
-10,25,-30,0.045689078
-5,25,-30,0.045688616
0,25,-30,0.0456868
5,25,-30,0.045683734
10,25,-30,0.0456796
15,25,-30,0.045674658
20,25,-30,0.045669302
25,25,-30,0.045664191
30,25,-30,0.045660507
-25,30,-30,0.045680334
-20,30,-30,0.045677465
-15,30,-30,0.045675673
-10,30,-30,0.045673903
-5,30,-30,0.045671765
0,30,-30,0.045669118
5,30,-30,0.045665999
10,30,-30,0.045662617
15,30,-30,0.045659302
20,30,-30,0.04565652
25,30,-30,0.04565523
-15,35,-30,0.045660992
-10,35,-30,0.045656022
-5,35,-30,0.04565207
0,35,-30,0.045648674
5,35,-30,0.0456457
10,35,-30,0.045643503
15,35,-30,0.045642649
0,40,-30,0.045626751
-15,-40,-25,0.045631933
-10,-40,-25,0.045634498
-5,-40,-25,0.045636731
0,-40,-25,0.04563835
5,-40,-25,0.045638753
10,-40,-25,0.045636651
15,-40,-25,0.045631274
-25,-35,-25,0.045635928
-20,-35,-25,0.045639895
-15,-35,-25,0.045644218
-10,-35,-25,0.045648095
-5,-35,-25,0.045650878
0,-35,-25,0.045652187
5,-35,-25,0.045651595
10,-35,-25,0.045648603
15,-35,-25,0.045643135
20,-35,-25,0.045636138
25,-35,-25,0.045629526
-30,-30,-25,0.045626718
-25,-30,-25,0.045638131
-20,-30,-25,0.045647334
-15,-30,-25,0.045654715
-10,-30,-25,0.045660257
-5,-30,-25,0.045663805
0,-30,-25,0.045665184
5,-30,-25,0.045664203
10,-30,-25,0.045660717
15,-30,-25,0.045654837
20,-30,-25,0.045647134
25,-30,-25,0.045638615
30,-30,-25,0.045630639
-35,-25,-25,0.045605405
-30,-25,-25,0.045624708
-25,-25,-25,0.045641008
-20,-25,-25,0.04565396
-15,-25,-25,0.045663837
-10,-25,-25,0.045670879
-5,-25,-25,0.045675197
0,-25,-25,0.045676814
5,-25,-25,0.045675719
10,-25,-25,0.045671938
15,-25,-25,0.045665637
20,-25,-25,0.045657206
25,-25,-25,0.045647328
30,-25,-25,0.04563726
35,-25,-25,0.045629925
-35,-20,-25,0.045602856
-30,-20,-25,0.045625592
-25,-20,-25,0.045644887
-20,-20,-25,0.04566022
-15,-20,-25,0.045671797
-10,-20,-25,0.045679926
-5,-20,-25,0.045684843
0,-20,-25,0.0456867
5,-20,-25,0.045685603
10,-20,-25,0.045681662
15,-20,-25,0.045675049
20,-20,-25,0.04566606
25,-20,-25,0.045655198
30,-20,-25,0.045643481
35,-20,-25,0.045633324
-40,-15,-25,0.045577114
-35,-15,-25,0.045603975
-30,-15,-25,0.045628721
-25,-15,-25,0.04564956
-20,-15,-25,0.045666122
-15,-15,-25,0.045678606
-10,-15,-25,0.045687331
-5,-15,-25,0.045692583
0,-15,-25,0.045694585
5,-15,-25,0.045693511
10,-15,-25,0.045689505
15,-15,-25,0.045682726
20,-15,-25,0.04567339
25,-15,-25,0.045661844
30,-15,-25,0.045648765
35,-15,-25,0.045635701
40,-15,-25,0.045626156
-40,-10,-25,0.045580727
-35,-10,-25,0.045608436
-30,-10,-25,0.04563355
-25,-10,-25,0.045654656
-20,-10,-25,0.045671464
-15,-10,-25,0.045684143
-10,-10,-25,0.045692985
-5,-10,-25,0.045698282
0,-10,-25,0.045700292
5,-10,-25,0.045699219
10,-10,-25,0.045695217
15,-10,-25,0.045688419
20,-10,-25,0.045678976
25,-10,-25,0.045667108
30,-10,-25,0.045653208
35,-10,-25,0.04563816
40,-10,-25,0.045624029
-40,-5,-25,0.045589725
-35,-5,-25,0.045615578
-30,-5,-25,0.045639448
-25,-5,-25,0.045659712
-20,-5,-25,0.045675944
-15,-5,-25,0.045688211
-10,-5,-25,0.045696744
-5,-5,-25,0.045701815
0,-5,-25,0.045703686
5,-5,-25,0.045702568
10,-5,-25,0.045698615
15,-5,-25,0.045691938
20,-5,-25,0.045682647
25,-5,-25,0.045670889
30,-5,-25,0.045656929
35,-5,-25,0.045641407
40,-5,-25,0.045625992
-40,0,-25,0.045602182
-35,0,-25,0.045624233
-30,0,-25,0.045645649
-25,0,-25,0.045664212
-20,0,-25,0.045679215
-15,0,-25,0.045690574
-10,0,-25,0.045698439
-5,0,-25,0.045703044
0,0,-25,0.045704633
5,0,-25,0.045703417
10,0,-25,0.045699542
15,0,-25,0.045693115
20,0,-25,0.04568423
25,0,-25,0.045673024
30,0,-25,0.045659768
35,0,-25,0.045645197
40,0,-25,0.045631359
-40,5,-25,0.04561564
-35,5,-25,0.045633136
-30,5,-25,0.04565142
-25,5,-25,0.045667683
-20,5,-25,0.045680944
-15,5,-25,0.045690983
-10,5,-25,0.045697873
-5,5,-25,0.0457018
0,5,-25,0.04570298
5,5,-25,0.045701612
10,5,-25,0.045697844
15,5,-25,0.045691788
20,5,-25,0.045683552
25,5,-25,0.045673295
30,5,-25,0.045661353
35,5,-25,0.045648674
40,5,-25,0.045637907
-40,10,-25,0.045628497
-35,10,-25,0.045641524
-30,10,-25,0.045656306
-25,10,-25,0.045669787
-20,10,-25,0.045680854
-15,10,-25,0.045689201
-10,10,-25,0.045694834
-5,10,-25,0.045697888
0,10,-25,0.045698544
5,10,-25,0.045696984
10,10,-25,0.045693361
15,10,-25,0.045687806
20,10,-25,0.04568046
25,10,-25,0.045671518
30,10,-25,0.045661371
35,10,-25,0.045651089
40,10,-25,0.045643649
-40,15,-25,0.045640944
-35,15,-25,0.045649497
-30,15,-25,0.04566024
-25,15,-25,0.045670353
-20,15,-25,0.045678732
-15,15,-25,0.045685003
-10,15,-25,0.045689101
-5,15,-25,0.045691098
0,15,-25,0.045691131
5,15,-25,0.04568936
10,15,-25,0.045685945
15,15,-25,0.045681048
20,15,-25,0.045674855
25,15,-25,0.045667616
30,15,-25,0.045659774
35,15,-25,0.04565238
40,15,-25,0.045648218
-35,20,-25,0.045657833
-30,20,-25,0.045663402
-25,20,-25,0.045669302
-20,20,-25,0.045674402
-15,20,-25,0.045678187
-10,20,-25,0.045680467
-5,20,-25,0.045681232
0,20,-25,0.045680565
5,20,-25,0.045678599
10,20,-25,0.045675496
15,20,-25,0.045671449
20,20,-25,0.045666706
25,20,-25,0.04566162
30,20,-25,0.045656758
35,20,-25,0.045653188
-35,25,-25,0.045667168
-30,25,-25,0.045665827
-25,25,-25,0.045666506
-20,25,-25,0.045667705
-15,25,-25,0.045668582
-10,25,-25,0.045668769
-5,25,-25,0.045668151
0,25,-25,0.045666743
5,25,-25,0.04566464
10,25,-25,0.045662001
15,25,-25,0.045659045
20,25,-25,0.045656081
25,25,-25,0.045653603
30,25,-25,0.045652492
35,25,-25,0.045654198
-30,30,-25,0.045666945
-25,30,-25,0.045661713
-20,30,-25,0.045658528
-15,30,-25,0.045656108
-10,30,-25,0.045653944
-5,30,-25,0.045651836
0,30,-25,0.045649701
5,30,-25,0.045647567
10,30,-25,0.0456456
15,30,-25,0.045644045
20,30,-25,0.045643213
25,30,-25,0.045643674
30,30,-25,0.045646742
-25,35,-25,0.045654685
-20,35,-25,0.04564693
-15,35,-25,0.045640814
-10,35,-25,0.045636062
-5,35,-25,0.04563246
0,35,-25,0.045629702
5,35,-25,0.045627677
10,35,-25,0.045626612
15,35,-25,0.045626866
20,35,-25,0.045628628
25,35,-25,0.045632123
-15,40,-25,0.045622758
-10,40,-25,0.045615248
-5,40,-25,0.045610452
0,40,-25,0.045607388
5,40,-25,0.045605548
10,40,-25,0.045605457
15,40,-25,0.045608003
-5,-45,-20,0.045609076
0,-45,-20,0.045611003
5,-45,-20,0.045610105
-20,-40,-20,0.045615662
-15,-40,-20,0.045619208
-10,-40,-20,0.045622666
-5,-40,-20,0.045624996
0,-40,-20,0.045625545
5,-40,-20,0.045623422
10,-40,-20,0.045617311
15,-40,-20,0.045606245
20,-40,-20,0.045590583
-25,-35,-20,0.04562542
-20,-35,-20,0.04563005
-15,-35,-20,0.045634012
-10,-35,-20,0.045637222
-5,-35,-20,0.04563913
0,-35,-20,0.045639158
5,-35,-20,0.045636678
10,-35,-20,0.045631055
15,-35,-20,0.045621955
20,-35,-20,0.045609627
25,-35,-20,0.045594566
-30,-30,-20,0.045621624
-25,-30,-20,0.045632148
-20,-30,-20,0.045639674
-15,-30,-20,0.045645341
-10,-30,-20,0.045649369
-5,-30,-20,0.045651576
0,-30,-20,0.045651644
5,-30,-20,0.045649223
10,-30,-20,0.04564402
15,-30,-20,0.045635939
20,-30,-20,0.045625167
